variável,média,desvio_padrao,assimetria,curtose,valor_min,90%,99%,valor_max,amplitude
DataYear,2020.4999428375443,1.118149031745771,0.00014317637656380332,-1.3602085719784325,2019.0,2022.0,2022.0,2022.0,3.0
CouncilDistrictCode,3.3857322510575054,2.3132399962465238,0.418552975200057,-1.346580079619865,1.0,7.0,7.0,7.0,6.0
YearBuilt,1974.6811478221105,32.75408116880131,-0.7189614287257546,-0.4935288443718231,1900.0,2013.0,2018.0,2019.0,119.0
NumberofFloors,4.658282839830799,4.459226662203775,5.206625786731233,38.504670992133555,0.0,7.0,26.539999999999054,56.0,56.0
NumberofFloors_not_outliers,4.1975534468960785,2.286045410328523,0.823981831972745,0.4228337181084738,0.0,7.0,10.0,10.0,10.0
NumberofBuildings,1.1710300674516978,1.4576944030501628,16.113724045535783,327.3882787171036,1.0,1.0,5.0,39.0,38.0
PropertyGFATotal,99866.19240882588,165279.00911762193,6.325882661659747,56.10605745714703,20000.0,225145.0,726103.0,2200000.0,2180000.0
PropertyGFATotal_not_outliers,75104.57185320681,60737.66974253656,1.1868285035361759,0.02975337955062818,20000.0,206126.0,206126.0,206126.0,186126.0
PropertyGFABuilding(s),84982.45855721962,137345.23147349394,7.096047837823135,71.96078412423091,12806.0,181290.0,582447.0,2200000.0,2187194.0
PropertyGFABuilding(s)_not_outliers,64574.28455470447,47688.447569435004,1.0924505603573935,-0.1896249674496353,12806.0,164437.0,164437.0,164437.0,151631.0
PropertyGFAParking,14883.733851606265,42871.73357088314,5.774684911023566,45.86385311419966,0.0,41539.0,196825.0,538711.0,538711.0
PropertyGFAParking_not_outliers,5338.803932776952,8599.491251649008,1.2214357858475824,-0.2653647286938656,0.0,22225.0,22225.0,22225.0,22225.0
ENERGYSTARScore,73.11401127729506,22.0338025568962,-1.2359479485710752,1.256147391630066,1.0,97.0,100.0,100.0,99.0
SiteEUIWN(kBtu/sf),51.79744039429518,53.322840478030194,5.384384569013346,50.12719208833688,1.2,89.7,293.61599999999964,956.7,955.5
SiteEUIWN(kBtu/sf)_not_outliers,44.14117348232537,23.40869909918338,1.0383678443166369,0.03648594446992748,1.2,89.7,96.0,96.0,94.8
SiteEUI(kBtu/sf),51.861072366925804,53.31817015843041,5.379884878837904,50.103859714406006,1.2,89.74000000000005,292.31399639999927,956.7,955.5
SiteEUI(kBtu/sf)_not_outliers,44.18008475288671,23.36812745781113,1.0355223013629524,0.031742311617684926,1.2,89.74000000000005,95.88600000000007,95.88600000000007,94.68600000000006
SiteEnergyUse(kBtu),5142760.950522719,14640418.389821447,11.54304909936905,180.31860325060327,7332.0,9908692.200000007,54623959.43999946,325567936.0,325560604.0
