variável,média,desvio_padrao,assimetria,curtose,valor_min,90%,99%,valor_max,amplitude,moda_valor,frequência_moda,frequência_total
EnergyScore(PropertyGFATot=Muito_Pequena),72.1642,21.5879,-1.288,1.4953,1.0,96.0,100.0,100.0,99.0,73.203,1138,5036
EnergyScore(PropertyGFATot=Pequena),71.5056,23.2951,-0.9291,0.162,1.0,97.2,100.0,100.0,99.0,73.203,213,1375
EnergyScore(PropertyGFATot=Média),73.6504,23.6577,-1.3024,1.2709,1.0,98.0,100.0,100.0,99.0,73.203,113,720
EnergyScore(PropertyGFATot=Grande),76.7167,21.1374,-1.4225,2.0872,1.0,98.4,100.0,100.0,99.0,73.203,65,390
EnergyScore(PropertyGFATot=Muito_Grande),77.3582,21.0403,-1.4008,1.8364,2.0,99.0,100.0,100.0,98.0,73.203,219,1226
ESS(PropertyGFABuilding=Muito_Pequena),72.5437,21.5755,-1.3351,1.6678,1.0,96.0,100.0,100.0,99.0,73.203,1002,4298
ESS(PropertyGFABuilding=Pequena),71.4552,23.1609,-1.0657,0.6298,1.0,97.0,100.0,100.0,99.0,73.203,318,1831
ESS(PropertyGFABuilding=Média),73.2079,22.5351,-1.0034,0.3136,1.0,98.0,100.0,100.0,99.0,73.203,103,814
ESS(PropertyGFABuilding=Grande),75.1204,22.1189,-1.2329,1.1696,3.0,98.0,100.0,100.0,97.0,73.203,97,515
ESS(PropertyGFABuilding=Muito_Grande),76.5109,21.1552,-1.3889,1.8555,1.0,98.0,100.0,100.0,99.0,73.203,228,1289
ESS(PropertyGFAParking=Muito_Pequena),70.7189,21.7713,-1.1707,1.0654,1.0,95.0,100.0,100.0,99.0,73.203,1366,6063
ESS(PropertyGFAParking=Pequena),77.5438,21.3481,-1.4827,2.1437,1.0,99.0,100.0,100.0,99.0,73.203,64,456
ESS(PropertyGFAParking=Média),76.6388,20.9191,-1.3865,1.7978,3.0,98.0,100.0,100.0,97.0,73.203,60,371
ESS(PropertyGFAParking=Grande),78.8856,19.7063,-1.5996,3.0216,1.0,98.0,100.0,100.0,99.0,73.203,48,282
ESS(PropertyGFAParking=Muito_Grande),79.1879,22.2397,-1.622,2.4057,1.0,99.0,100.0,100.0,99.0,73.203,210,1575
ESS(SiteEUIWN(kBtu/sf)=Muito_baixa),81.9125,15.9335,-0.9278,1.2287,4.0,100.0,100.0,100.0,96.0,73.203,142,499
ESS(SiteEUIWN(kBtu/sf)=Baixa),81.5355,15.6676,-1.3508,2.5415,2.0,98.0,100.0,100.0,98.0,73.203,584,4474
ESS(SiteEUIWN(kBtu/sf)=Média),68.6826,20.6586,-0.9176,0.414,1.0,93.0,99.0,100.0,99.0,73.203,308,1760
ESS(SiteEUIWN(kBtu/sf)=Grande),57.3834,23.845,-0.5444,-0.688,1.0,84.0,98.0,100.0,99.0,73.203,178,829
ESS(SiteEUIWN(kBtu/sf)=Muito_Grande),55.1997,26.3846,-0.8111,-0.7566,1.0,73.203,95.16,100.0,99.0,73.203,536,1185
ESS(SiteEUI(kBtu/sf)=Muito_baixa),82.2553,15.7665,-0.9623,1.3844,4.0,100.0,100.0,100.0,96.0,73.203,141,496
ESS(SiteEUI(kBtu/sf)=Baixa),81.6696,15.4447,-1.3249,2.4873,2.0,98.0,100.0,100.0,98.0,73.203,586,4443
ESS(SiteEUI(kBtu/sf)=Média),68.4109,20.9035,-0.8865,0.3055,1.0,93.0,99.0,100.0,99.0,73.203,300,1805
ESS(SiteEUI(kBtu/sf)=Grande),57.594,23.692,-0.5894,-0.6393,1.0,84.0,97.89,100.0,99.0,73.203,185,812
ESS(SiteEUI(kBtu/sf)=Muito_Grande),55.0996,26.4299,-0.7954,-0.7771,1.0,73.203,96.0,100.0,99.0,73.203,536,1191
ESS(SiteEnergyUse(kBtu)=Muito_baixa),77.4595,17.7367,-1.3544,2.4574,1.0,97.0,100.0,100.0,99.0,73.203,871,4383
ESS(SiteEnergyUse(kBtu)=Baixa),68.9928,24.5371,-0.8829,0.1119,1.0,97.0,100.0,100.0,99.0,73.203,280,1822
ESS(SiteEnergyUse(kBtu)=Média),69.3652,25.7259,-0.9587,0.0451,1.0,98.0,100.0,100.0,99.0,73.203,175,860
ESS(SiteEnergyUse(kBtu)=Grande),70.0492,27.1191,-1.0501,0.0992,1.0,97.6,100.0,100.0,99.0,73.203,64,415
ESS(SiteEnergyUse(kBtu)=Muito_Grande),67.5564,24.0025,-1.0973,0.5675,1.0,94.0,100.0,100.0,99.0,73.203,358,1267
ESS(SiteEnergyUseWN=Muito_baixa),77.4485,17.7277,-1.3541,2.4537,1.0,97.0,100.0,100.0,99.0,73.203,877,4387
ESS(SiteEnergyUseWN=Baixa),68.981,24.6849,-0.8821,0.0921,1.0,97.0,100.0,100.0,99.0,73.203,275,1817
ESS(SiteEnergyUseWN=Média),69.3824,25.5512,-0.9629,0.0807,1.0,98.0,100.0,100.0,99.0,73.203,171,845
ESS(SiteEnergyUseWN=Grande),70.0375,27.1362,-1.0552,0.1023,1.0,98.0,100.0,100.0,99.0,73.203,67,427
ESS(SiteEnergyUseWN=Muito_Grande),67.5759,23.9447,-1.0914,0.5675,1.0,94.0,100.0,100.0,99.0,73.203,358,1271
ESS(SourceEUIWN(kBtu/sf)=Muito_baixa),78.9863,15.1935,-0.5685,0.6012,29.0,100.0,100.0,100.0,71.0,73.203,110,342
ESS(SourceEUIWN(kBtu/sf)=Baixa),84.6319,14.6282,-1.6676,4.3542,2.0,99.0,100.0,100.0,98.0,73.203,436,3117
ESS(SourceEUIWN(kBtu/sf)=Média),72.2955,18.8468,-1.0,0.839,2.0,94.0,99.0,100.0,98.0,73.203,415,3038
